day,arrivals,completions
2018-08-05,24.0,110.0
2018-08-06,62.0,10.0
2018-08-07,41.0,6.0
2018-08-08,49.0,100.0
2018-08-09,59.0,3.0
2018-08-10,57.0,12.0
2018-08-11,46.0,129.0
2018-08-12,43.0,20.0
2018-08-13,27.0,15.0
2018-08-14,56.0,90.0
2018-08-15,48.0,4.0
2018-08-16,34.0,0.0
2018-08-17,53.0,111.0
2018-08-18,44.0,19.0
2018-08-19,37.0,12.0
2018-08-20,59.0,109.0
2018-08-21,64.0,8.0
2018-08-22,48.0,5.0
2018-08-23,42.0,115.0
2018-08-24,54.0,9.0
2018-08-25,36.0,11.0
2018-08-26,2.0,101.0
2018-08-27,34.0,1.0
2018-08-28,78.0,7.0
2018-08-29,60.0,88.0
2018-08-30,52.0,8.0
2018-08-31,38.0,2.0
2018-09-01,32.0,120.0
2018-09-02,34.0,16.0
2018-09-03,58.0,8.0
2018-09-04,64.0,90.0
2018-09-05,58.0,4.0
2018-09-06,72.0,8.0
2018-09-07,40.0,133.0
2018-09-08,34.0,5.0
2018-09-09,40.0,20.0
2018-09-10,59.0,110.0
2018-09-11,47.0,10.0
2018-09-12,70.0,6.0
2018-09-13,63.0,112.0
2018-09-14,50.0,5.0
2018-09-15,37.0,13.0
2018-09-16,41.0,124.0
2018-09-17,47.0,19.0
2018-09-18,39.0,5.0
2018-09-19,57.0,99.0
2018-09-20,58.0,5.0
2018-09-21,36.0,1.0
2018-09-22,22.0,114.0
2018-09-23,37.0,11.0
2018-09-24,39.0,13.0
2018-09-25,42.0,94.0
2018-09-26,50.0,6.0
2018-09-27,54.0,5.0
2018-09-28,55.0,107.0
2018-09-29,37.0,18.0
2018-09-30,41.0,14.0
2018-10-01,46.0,102.0
2018-10-02,33.0,7.0
2018-10-03,42.0,7.0
2018-10-04,59.0,108.0
2018-10-05,34.0,11.0
2018-10-06,22.0,4.0
2018-10-07,46.0,106.0
2018-10-08,55.0,18.0
2018-10-09,36.0,3.0
2018-10-10,81.0,94.0
2018-10-11,55.0,3.0
2018-10-12,32.0,6.0
2018-10-13,0.0,110.0
2018-10-14,1.0,1.0
2018-10-15,26.0,1.0
2018-10-16,42.0,91.0
2018-10-17,29.0,0.0
2018-10-18,28.0,0.0
2018-10-19,53.0,104.0
2018-10-20,51.0,16.0
2018-10-21,51.0,28.0
2018-10-22,51.0,103.0
2018-10-23,54.0,12.0
2018-10-24,43.0,8.0
2018-10-25,38.0,107.0
2018-10-26,31.0,9.0
2018-10-27,32.0,16.0
2018-10-28,24.0,122.0
2018-10-29,55.0,7.0
2018-10-30,63.0,20.0
2018-10-31,59.0,119.0
2018-11-01,55.0,28.0
2018-11-02,38.0,22.0
2018-11-03,30.0,125.0
2018-11-04,40.0,26.0
2018-11-05,50.0,18.0
2018-11-06,51.0,115.0
2018-11-07,72.0,25.0
2018-11-08,36.0,20.0
2018-11-09,47.0,134.0
2018-11-10,16.0,24.0
2018-11-11,21.0,14.0
2018-11-12,34.0,122.0
2018-11-13,62.0,16.0
2018-11-14,68.0,17.0
2018-11-15,33.0,151.0
2018-11-16,51.0,26.0
2018-11-17,30.0,13.0
2018-11-18,4.0,122.0
2018-11-19,46.0,2.0
2018-11-20,34.0,14.0
2018-11-21,46.0,127.0
2018-11-22,62.0,24.0
2018-11-23,51.0,28.0
2018-11-24,43.0,131.0
2018-11-25,49.0,33.0
2018-11-26,60.0,24.0
2018-11-27,49.0,99.0
2018-11-28,39.0,27.0
2018-11-29,44.0,20.0
2018-11-30,66.0,128.0
2018-12-01,40.0,21.0
2018-12-02,2.0,18.0
2018-12-03,34.0,100.0
2018-12-04,44.0,17.0
2018-12-05,57.0,16.0
2018-12-06,68.0,137.0
2018-12-07,61.0,47.0
2018-12-08,42.0,20.0
2018-12-09,25.0,119.0
2018-12-10,51.0,23.0
2018-12-11,33.0,23.0
2018-12-12,56.0,115.0
2018-12-13,58.0,18.0
2018-12-14,52.0,25.0
2018-12-15,35.0,130.0
2018-12-16,12.0,18.0
2018-12-17,55.0,22.0
2018-12-18,47.0,118.0
2018-12-19,60.0,19.0
2018-12-20,50.0,27.0
