case_id,start,end,cycle_time_h
68,2018-01-02 12:00:00.000000,2018-01-07 08:00:00.000000,116.0
69,2018-01-02 12:00:00.000000,2018-01-07 08:00:00.000000,116.0
70,2018-01-02 12:00:00.000000,2018-01-10 08:00:00.000000,188.0
71,2018-01-02 12:00:00.000000,2018-01-13 08:00:00.000000,260.0
72,2018-01-02 12:00:00.000000,2018-01-10 08:00:00.000000,188.0
73,2018-01-02 12:00:00.000000,2018-01-10 08:00:00.000000,188.0
74,2018-01-02 12:00:00.000000,2018-01-07 08:00:00.000000,116.0
75,2018-01-02 13:00:00.000000,2018-01-07 08:00:00.000000,115.0
76,2018-01-02 13:00:00.000000,2018-01-07 08:00:00.000000,115.0
77,2018-01-02 13:00:00.000000,2018-01-07 08:00:00.000000,115.0
78,2018-01-02 13:00:00.000000,2018-01-10 08:00:00.000000,187.0
79,2018-01-02 13:16:53.088775,2018-01-04 08:00:00.000000,42.71858645138889
80,2018-01-02 14:00:00.000000,2018-01-10 08:00:00.000000,186.0
81,2018-01-02 14:00:00.000000,2018-01-10 08:00:00.000000,186.0
82,2018-01-02 14:00:00.000000,2018-01-10 08:00:00.000000,186.0
83,2018-01-02 14:00:00.000000,2018-01-07 08:00:00.000000,114.0
84,2018-01-02 14:00:00.000000,2018-01-07 08:00:00.000000,114.0
85,2018-01-02 14:00:00.000000,2018-01-07 08:00:00.000000,114.0
86,2018-01-02 15:00:00.000000,2018-01-07 08:00:00.000000,113.0
87,2018-01-02 15:00:00.000000,2018-01-07 08:00:00.000000,113.0
88,2018-01-02 15:00:00.000000,2018-01-07 08:00:00.000000,113.0
89,2018-01-02 15:00:00.000000,2018-01-07 08:00:00.000000,113.0
90,2018-01-02 16:00:00.000000,2018-01-07 08:00:00.000000,112.0
91,2018-01-02 16:00:00.000000,2018-01-07 08:00:00.000000,112.0
92,2018-01-02 16:00:00.000000,2018-01-07 08:00:00.000000,112.0
93,2018-01-02 16:00:00.000000,2018-01-07 08:00:00.000000,112.0
94,2018-01-02 17:00:00.000000,2018-01-07 08:00:00.000000,111.0
95,2018-01-02 17:00:00.000000,2018-01-07 08:00:00.000000,111.0
96,2018-01-02 20:49:49.751256,2018-01-04 08:00:00.000000,35.16951354
97,2018-01-02 21:05:10.437974,2018-01-02 22:46:03.349065,1.6813641919444444
98,2018-01-02 21:47:51.436319,2018-01-02 23:30:45.136153,1.7149166205555555
99,2018-01-02 22:22:48.437461,2018-01-04 08:00:00.000000,33.61987848305556
100,2018-01-02 22:27:58.111770,2018-01-03 00:21:46.697085,1.8968292541666667
101,2018-01-02 22:29:21.699941,2018-01-03 00:19:55.877214,1.842827020277778
102,2018-01-02 22:35:54.533337,2018-01-04 08:00:00.000000,33.4015185175
103,2018-01-02 22:45:39.399433,2018-01-03 00:33:18.702687,1.794250903888889
104,2018-01-02 23:05:41.966982,2018-01-04 08:00:00.000000,32.90500917166667
105,2018-01-02 23:16:42.113053,2018-01-04 08:00:00.000000,32.72163526305556
106,2018-01-02 23:18:26.660188,2018-01-03 01:16:39.895650,1.9703431838888887
107,2018-01-02 23:27:08.889716,2018-01-04 08:00:00.000000,32.54753063444444
108,2018-01-02 23:32:14.043148,2018-01-03 02:14:39.572041,2.7070913591666668
109,2018-01-03 00:01:40.306853,2018-01-04 08:00:00.000000,31.97213698527778
110,2018-01-03 03:18:16.000795,2018-01-04 08:00:00.000000,28.695555334722222
111,2018-01-03 09:00:00.000000,2018-01-10 13:00:00.000000,172.0
112,2018-01-03 09:00:00.000000,2018-01-13 08:00:00.000000,239.0
113,2018-01-03 09:00:00.000000,2018-01-10 18:00:00.000000,177.0
114,2018-01-03 10:00:00.000000,2018-01-13 08:00:00.000000,238.0
115,2018-01-03 10:00:00.000000,2018-01-10 18:00:00.000000,176.0
116,2018-01-03 10:00:00.000000,2018-01-13 08:00:00.000000,238.0
117,2018-01-03 10:00:00.000000,2018-01-13 08:00:00.000000,238.0
118,2018-01-03 10:00:00.000000,2018-01-10 18:00:00.000000,176.0
119,2018-01-03 10:00:00.000000,2018-01-13 08:00:00.000000,238.0
120,2018-01-03 11:00:00.000000,2018-01-10 13:00:00.000000,170.0
121,2018-01-03 11:00:00.000000,2018-01-10 18:00:00.000000,175.0
122,2018-01-03 12:00:00.000000,2018-01-10 13:00:00.000000,169.0
123,2018-01-03 12:00:00.000000,2018-01-10 08:00:00.000000,164.0
124,2018-01-03 13:00:00.000000,2018-01-10 13:00:00.000000,168.0
125,2018-01-03 13:00:00.000000,2018-01-10 13:00:00.000000,168.0
126,2018-01-03 13:00:00.000000,2018-01-13 08:00:00.000000,235.0
127,2018-01-03 14:00:00.000000,2018-01-07 08:00:00.000000,90.0
